ccd_code,ccd_name,ccd_synonyms,common_name_guess,ccd_type,release_status,source,error,canonical_code,identical_group_codes,is_identical_alias,alpha_code,beta_code,anomer_group_id,group_member_codes,listed_in_saccharides,anomer_availability,canonical_anomer,sugar_family,sugar_sort_key
6GR,2-(alpha-L-altropyranosyloxy)benzoic acid,2-(alpha-L-altrosyloxy)benzoic acid; 2-(L-altrosyloxy)benzoic acid; 2-(altrosyloxy)benzoic acid,,L-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,6GR,6GR,FALSE,6GR,,,6GR,TRUE,alpha_only,alpha,2-(alpha-l-altropyranosyloxy)benzoic acid,2-(alpha-l-altropyranosyloxy)benzoic acid
FMO,"2-deoxy-2,2-difluoro-4-O-alpha-D-glucopyranosyl-alpha-D-arabino-hexopyranosyl fluoride","1,2,2-trifluoromaltose",trifluoromaltose,saccharide,OBS,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,FMO,FMO,FALSE,FMO,,,FMO,TRUE,alpha_only,alpha,2-difluoro-4-o-alpha-d-glucopyranosyl-alpha-d-arabino-hexopyranosyl fluoride,"2-deoxy-2,2-difluoro-4-o-alpha-d-glucopyranosyl-alpha-d-arabino-hexopyranosyl fluoride"
IN1,"4-(beta-D-glucopyranosyloxy)-2,2-dihydroxybutyl propanoate","PROPIONIC ACID 2,2-DIHYDROXY-3-(1-GLUCOPYRANOSYLOXY)-METHYLPROPYL ESTER; 4-(beta-D-glucosyloxy)-2,2-dihydroxybutyl propanoate; 4-(D-glucosyloxy)-2,2-dihydroxybutyl propanoate; 4-(glucosyloxy)-2,2-dihydroxybutyl propanoate",,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,IN1,IN1,FALSE,,IN1,,IN1,TRUE,beta_only,beta,2-dihydroxybutyl propanoate,"4-(beta-d-glucopyranosyloxy)-2,2-dihydroxybutyl propanoate"
MNA,2-O-methyl-5-N-acetyl-alpha-D-neuraminic acid,2-O-METHYL-5-N-ACETYL-ALPHA-D- NEURAMINIC ACID,,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,MNA,MNA,FALSE,,MNA,,MNA,TRUE,beta_only,beta,2-o-methyl-5-n-acetyl-alpha-d-neuraminic acid,2-o-methyl-5-n-acetyl-alpha-d-neuraminic acid
5TK,"(2S,3R,4R,5S,6R)-6-(hydroxymethyl)-5-oxidanylsulfanyloxy-oxane-2,3,4-triol","(2~{S},3~{R},4~{R},5~{S},6~{R})-6-(hydroxymethyl)-5-oxidanylsulfanyloxy-oxane-2,3,4-triol",,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,5TK,5TK,FALSE,5TK,,,5TK,TRUE,alpha_only,alpha,3 4-triol,"(2s,3r,4r,5s,6r)-6-(hydroxymethyl)-5-oxidanylsulfanyloxy-oxane-2,3,4-triol"
CBF,"(2R,3R,4S,5S,6R)-2,3,4,5-tetrahydroxy-6-(hydroxymethyl)oxane-2-carboxamide",C-(1-HYDROGYL-BETA-D-GLUCOPYRANOSYL) FORMAMIDE,,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,CBF,CBF,FALSE,CBF,,,CBF,TRUE,alpha_only,alpha,4 5-tetrahydroxy-6-(hydroxymethyl)oxane-2-carboxamide,"(2r,3r,4s,5s,6r)-2,3,4,5-tetrahydroxy-6-(hydroxymethyl)oxane-2-carboxamide"
D0N,"(2~{R},3~{R},4~{S},5~{S},6~{R})-2-[(2~{R},3~{R},4~{R},5~{S},6~{S})-4-fluoranyl-2-(hydroxymethyl)-5,6-bis(oxidanyl)oxan- 3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",,,saccharide,OBS,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,D0N,D0N,FALSE,D0N,,,D0N,TRUE,alpha_only,alpha,4 5-triol,"(2~{r},3~{r},4~{s},5~{s},6~{r})-2-[(2~{r},3~{r},4~{r},5~{s},6~{s})-4-fluoranyl-2-(hydroxymethyl)-5,6-bis(oxidanyl)oxan- 3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
U9J,"(2R,3R,4S,5S,6R)-6-(dihydroxymethyl)-3,4-dimethoxytetrahydro-2H-pyran-2,5-diol",,,"L-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,U9J,U9J,FALSE,U9J,,,U9J,TRUE,alpha_only,alpha,4-dimethoxytetrahydro-2h-pyran-2 5-diol,"(2r,3r,4s,5s,6r)-6-(dihydroxymethyl)-3,4-dimethoxytetrahydro-2h-pyran-2,5-diol"
U9M,"(2R,3R,4S,5S,6S)-6-(dihydroxymethyl)-3,4-dimethoxytetrahydro-2H-pyran-2,5-diol",,,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,U9M,U9M,FALSE,,U9M,,U9M,TRUE,beta_only,beta,4-dimethoxytetrahydro-2h-pyran-2 5-diol,"(2r,3r,4s,5s,6s)-6-(dihydroxymethyl)-3,4-dimethoxytetrahydro-2h-pyran-2,5-diol"
ERE,4-epi-vancosamine,"(1R,3S,4R,5S)-3-amino-2,3,6-trideoxy-3-methyl-alpha-L-arabino-hexopyranose",epi vancosamine,"L-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,ERE,ERE,FALSE,ERE,,,ERE,TRUE,alpha_only,alpha,4-epi-vancosamine,4-epi-vancosamine
HD4,4-O-[2-acetamido-2-deoxy-beta-D-glucopyranosyl]-1-O-phosphono-D-ribitol,4-O-[2-(acetylamino)-2-deoxy-beta-D-glucopyranosyl]-1-O-phosphono-D-ribitol; 4-O-[2-acetamido-2-deoxy-beta-D-glucosyl]-1-O-phosphono-D-ribitol; 4-O-[2-acetamido-2-deoxy-D-glucosyl]-1-O-phosphono-D-ribitol; 4-O-[2-acetamido-2-deoxy-glucosyl]-1-O-phosphono-D-ribitol,,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,HD4,HD4,FALSE,,HD4,,HD4,TRUE,beta_only,beta,4-o-[2-acetamido-2-deoxy-beta-d-glucopyranosyl]-1-o-phosphono-d-ribitol,4-o-[2-acetamido-2-deoxy-beta-d-glucopyranosyl]-1-o-phosphono-d-ribitol
57S,4-O-[2-acetamido-2-deoxy-beta-D-glucopyranosyl]-5-O-phosphono-D-ribitol,4-O-[2-(acetylamino)-2-deoxy-beta-D-glucopyranosyl]-5-O-phosphono-D-ribitol; 4-O-[2-acetamido-2-deoxy-beta-D-glucosyl]-5-O-phosphono-D-ribitol; 4-O-[2-acetamido-2-deoxy-D-glucosyl]-5-O-phosphono-D-ribitol; 4-O-[2-acetamido-2-deoxy-glucosyl]-5-O-phosphono-D-ribitol,,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,57S,57S,FALSE,,57S,,57S,TRUE,beta_only,beta,4-o-[2-acetamido-2-deoxy-beta-d-glucopyranosyl]-5-o-phosphono-d-ribitol,4-o-[2-acetamido-2-deoxy-beta-d-glucopyranosyl]-5-o-phosphono-d-ribitol
DVC,"(2R,4S,6S)-4-azanyl-4,6-dimethyl-oxane-2,5,5-triol",,,"L-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,DVC,DVC,FALSE,DVC,,,DVC,TRUE,alpha_only,alpha,5 5-triol,"(2r,4s,6s)-4-azanyl-4,6-dimethyl-oxane-2,5,5-triol"
U9A,"[(2R,3R,4R,5R,6R)-2,4,5-trihydroxy-6-(sulfooxy)tetrahydro-2H-pyran-3-yl]sulfamic acid",,,saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,U9A,U9A,FALSE,,U9A,,U9A,TRUE,beta_only,beta,5-trihydroxy-6-(sulfooxy)tetrahydro-2h-pyran-3-yl]sulfamic acid,"[(2r,3r,4r,5r,6r)-2,4,5-trihydroxy-6-(sulfooxy)tetrahydro-2h-pyran-3-yl]sulfamic acid"
GCB,"(2S,3S,4S,5R)-3,4,5-trihydroxy-6-oxo-oxane-2-carboxylic acid","D-GLUCARO-1,5-LACTONE",glucaro lactone,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GCB,GCB,FALSE,GCB,,,GCB,TRUE,alpha_only,alpha,5-trihydroxy-6-oxo-oxane-2-carboxylic acid,"(2s,3s,4s,5r)-3,4,5-trihydroxy-6-oxo-oxane-2-carboxylic acid"
RHC,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-3,4,5-trihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid","5-(3-AMINO-4,4-DIHYROXY-BUTYLSULFANYLMETHYL)-TETRAHYDRO-FURAN-2,3,4-TRIOL",,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,RHC,RHC,FALSE,,RHC,,RHC,TRUE,beta_only,beta,5-trihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid,"(2s)-2-amino-4-[[(2s,3s,4r,5r)-3,4,5-trihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid"
604,"2-[(3-bromobenzene-1-carbonyl)amino]-6-{[(4-carboxy-5-methylfuran-2-yl)sulfonyl]amino}-2,6-dideoxy-alpha-D-glucopyranos e","5-[[(2~{R},3~{S},4~{R},5~{R},6~{S})-5-[(3-bromophenyl)carbonylamino]-3,4,6-tris(oxidanyl)oxan-2-yl]methylsulfamoyl]-2-m ethyl-furan-3-carboxylic acid; 2-[(3-bromobenzene-1-carbonyl)amino]-6-{[(4-carboxy-5-methylfuran-2-yl)sulfonyl]amino}-2,6-dideoxy-alpha-D-glucose; 2-[(3-bromobenzene-1-carbonyl)amino]-6-{[(4-carboxy-5-methylfuran-2-yl)sulfonyl]amino}-2,6-dideoxy-D-glucose; 2-[(3-bromobenzene-1-carbonyl)amino]-6-{[(4-carboxy-5-methylfuran-2-yl)sulfonyl]amino}-2,6-dideoxy-glucose",glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,604,604,FALSE,604,,,604,TRUE,alpha_only,alpha,6-dideoxy-alpha-d-glucopyranos e,"2-[(3-bromobenzene-1-carbonyl)amino]-6-{[(4-carboxy-5-methylfuran-2-yl)sulfonyl]amino}-2,6-dideoxy-alpha-d-glucopyranos e"
UCD,"(4S,5R,6R)-6-((2R,3R,4R,5R,6R)-3-ACETAMIDO-2,5-DIHYDROXY-6-(HYDROXYMETHYL)-TETRAHYDRO-2H-PYRAN-4-YLOXY)-4,5-DIHYDROXY-5 ,6-DIHYDRO-4H-PYRAN-2-CARBOXYLIC ACID","4-DEOXY-L-THREO-HEX-4-ENOPYRANOSYLURONIC ACID-(1,3)-N-ACETYL-D-GALACTOSAMINE; UNSATURATED CHONDROITIN DISACCHARIDE",galactosamine,saccharide,OBS,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,UCD,UCD,FALSE,,UCD,,UCD,TRUE,beta_only,beta,6-dihydro-4h-pyran-2-carboxylic acid,"(4s,5r,6r)-6-((2r,3r,4r,5r,6r)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)-tetrahydro-2h-pyran-4-yloxy)-4,5-dihydroxy-5 ,6-dihydro-4h-pyran-2-carboxylic acid"
ARI,"(2R,3R,6R)-6-hydroxy-2-methyltetrahydro-2H-pyran-3-yl acetate","[O4]-ACETOXY-2,3-DIDEOXYFUCOSE",fucose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,ARI,ARI,FALSE,,ARI,,ARI,TRUE,beta_only,beta,6r)-6-hydroxy-2-methyltetrahydro-2h-pyran-3-yl acetate,"(2r,3r,6r)-6-hydroxy-2-methyltetrahydro-2h-pyran-3-yl acetate"
CDR,"(2R,5S,6R)-6-methyltetrahydro-2H-pyran-2,5-diol","2,3-DIDEOXYFUCOSE",fucose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,CDR,CDR,FALSE,,CDR,,CDR,TRUE,beta_only,beta,6r)-6-methyltetrahydro-2h-pyran-2 5-diol,"(2r,5s,6r)-6-methyltetrahydro-2h-pyran-2,5-diol"
ABE,alpha-D-Abequopyranose,"alpha-D-Abequose; 3,6-dideoxy-alpha-D-xylo-hexopyranose; 3,6-dideoxy-alpha-D-gulopyranose; 3,6-dideoxy-alpha-D-galactopyranose; 3-deoxy-alpha-D-fucopyranose; D-Abequose; Abequose",galactose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,ABE,ABE,FALSE,ABE,,,ABE,TRUE,alpha_only,alpha,abequopyranose,abequopyranose
TUJ,"1,2,3,4-tetra-O-sulfo-alpha-D-allopyranose",,allose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,TUJ,TUJ,FALSE,TUJ,,,TUJ,TRUE,alpha_only,alpha,allopyranose,"1,2,3,4-tetra-o-sulfo-alpha-d-allopyranose"
DSR,"2,6-dideoxy-4-thio-beta-D-allopyranose","2,6-dideoxy-4-thio-beta-D-allose; 2,6-dideoxy-4-thio-D-allose; 2,6-dideoxy-4-thio-allose",allose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,DSR,DSR,FALSE,,DSR,,DSR,TRUE,beta_only,beta,allopyranose,"2,6-dideoxy-4-thio-beta-d-allopyranose"
NA1,2-acetamido-2-deoxy-6-O-methyl-alpha-D-allopyranose,METHYL N-ACETYL ALLOSAMINE; 2-(ACETYLAMINO)-2-DEOXY-6-O-METHYL-ALPHA-D-ALLOPYRANOSE; 2-acetamido-2-deoxy-6-O-methyl-alpha-D-allose; 2-acetamido-2-deoxy-6-O-methyl-D-allose; 2-acetamido-2-deoxy-6-O-methyl-allose,allose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,NA1,NA1,FALSE,,NA1,,NA1,TRUE,beta_only,beta,allopyranose,2-acetamido-2-deoxy-6-o-methyl-alpha-d-allopyranose
NAA,2-acetamido-2-deoxy-beta-D-allopyranose,N-acetyl-beta-D-allosamine; 2-acetamido-2-deoxy-beta-D-allose; 2-acetamido-2-deoxy-D-allose; 2-acetamido-2-deoxy-allose; N-ACETYL-D-ALLOSAMINE,allose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,NAA,NAA,FALSE,,NAA,,NAA,TRUE,beta_only,beta,allopyranose,2-acetamido-2-deoxy-beta-d-allopyranose
A6P,6-O-phosphono-alpha-D-allopyranose,6-O-phosphono-alpha-D-allose; 6-O-phosphono-D-allose; 6-O-phosphono-allose,allose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,A6P,A6P,FALSE,A6P,,,A6P,TRUE,alpha_only,alpha,allopyranose,6-o-phosphono-alpha-d-allopyranose
AFD,alpha-D-allopyranose,alpha-D-allose; D-allose; allose,allose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,AFD,AFD,FALSE,AFD,ALL,anomer_group_11,"AFD, ALL",FALSE,both,alpha,allopyranose,allopyranose
ALL,beta-D-allopyranose,beta-D-allose; D-allose; allose; D-ALLOPYRANOSE,allose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,ALL,ALL,FALSE,AFD,ALL,anomer_group_11,"AFD, ALL",FALSE,both,beta,allopyranose,allopyranose
WOO,beta-L-allopyranose,beta-L-allose; L-allose; allose,allose,"L-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,WOO,WOO,FALSE,Z2D,WOO,anomer_group_40,"WOO, Z2D",FALSE,both,beta,allopyranose,allopyranose
Z2D,alpha-L-allopyranose,alpha-L-allose; L-allose; allose,allose,"L-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,Z2D,Z2D,FALSE,Z2D,WOO,anomer_group_40,"WOO, Z2D",FALSE,both,alpha,allopyranose,allopyranose
8OQ,alpha-D-aceric acid,,aceric acid,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,8OQ,8OQ,FALSE,,8OQ,,8OQ,TRUE,beta_only,beta,alpha-d-aceric acid,aceric acid
1S4,alpha-muramic acid,muramic acid; 2-amino-3-O-[(1R)-1-carboxyethyl]-2-deoxy-alpha-D-glucopyranose,glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,1S4,1S4,FALSE,1S4,,,1S4,TRUE,alpha_only,alpha,alpha-muramic acid,muramic acid
TWA,"2,3,4-tri-O-sulfo-beta-D-altropyranose",,altrose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,TWA,TWA,FALSE,,TWA,,TWA,TRUE,beta_only,beta,altropyranose,"2,3,4-tri-o-sulfo-beta-d-altropyranose"
TUG,"3,4-di-O-sulfo-alpha-D-altropyranose",,altrose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,TUG,TUG,FALSE,TUG,,,TUG,TRUE,alpha_only,alpha,altropyranose,"3,4-di-o-sulfo-alpha-d-altropyranose"
3MK,beta-L-altropyranose,beta-L-altrose; L-altrose; altrose,altrose,"L-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,3MK,3MK,FALSE,Z6H,3MK,anomer_group_4,"3MK, Z6H",FALSE,both,beta,altropyranose,altropyranose
SHD,alpha-D-altropyranose,alpha-D-altrose; D-altrose; altrose,altrose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,SHD,SHD,FALSE,SHD,,,SHD,TRUE,alpha_only,alpha,altropyranose,altropyranose
Z6H,alpha-L-altropyranose,alpha-L-altrose; L-altrose; altrose,altrose,"L-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,Z6H,Z6H,FALSE,Z6H,3MK,anomer_group_4,"3MK, Z6H",FALSE,both,alpha,altropyranose,altropyranose
ZEL,methyl beta-D-altropyranoside,,methyl altropyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,ZEL,ZEL,FALSE,,ZEL,,ZEL,TRUE,beta_only,beta,altropyranoside,methyl beta-d-altropyranoside
HSG,octyl alpha-L-altropyranoside,octyl alpha-L-altroside; octyl L-altroside; octyl altroside,octyl altropyranoside,L-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,HSG,HSG,FALSE,HSG,,,HSG,TRUE,alpha_only,alpha,altropyranoside,octyl alpha-l-altropyranoside
IDU,2-O-sulfo-beta-L-altropyranuronic acid,2-O-sulfo-beta-L-altruronic acid; 2-O-sulfo-L-altruronic acid; 2-O-sulfo-altruronic acid,,"L-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,IDU,IDU,FALSE,,IDU,,IDU,TRUE,beta_only,beta,altropyranuronic acid,2-o-sulfo-beta-l-altropyranuronic acid
V3M,2-deoxy-2-fluoro-alpha-D-arabinofuranose,,arabinose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,V3M,V3M,FALSE,,V3M,,V3M,TRUE,beta_only,beta,arabinofuranose,2-deoxy-2-fluoro-alpha-d-arabinofuranose
ABF,5-O-phosphono-beta-D-arabinofuranose,BETA-D-ARABINOFURANOSE-5'-PHOSPHATE; 5-O-phosphono-beta-D-arabinose; 5-O-phosphono-D-arabinose; 5-O-phosphono-arabinose,arabinose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,ABF,ABF,FALSE,,ABF,,ABF,TRUE,beta_only,beta,arabinofuranose,5-o-phosphono-beta-d-arabinofuranose
AHR,alpha-L-arabinofuranose,alpha-L-arabinose; L-arabinose; arabinose,arabinose,"L-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,AHR,AHR,FALSE,,AHR,,AHR,TRUE,beta_only,beta,arabinofuranose,arabinofuranose
BXY,alpha-D-arabinofuranose,alpha-D-arabinose; D-arabinose; arabinose,arabinose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,BXY,BXY,FALSE,,BXY,,BXY,TRUE,beta_only,beta,arabinofuranose,arabinofuranose
FUB,beta-L-arabinofuranose,beta-L-arabinose; L-arabinose; arabinose,arabinose,"L-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,FUB,FUB,FALSE,,FUB,,FUB,TRUE,beta_only,beta,arabinofuranose,arabinofuranose
